OrderID,OrderDate,Category,Product,Region,Channel,PaymentMethod,Quantity,UnitPrice,CostPrice,Revenue,CustomerAge,CustomerRating,OrderYear,OrderMonth,OrderMonthName,TotalCost,Profit,ProfitMarginPct
ORD107546,2024-09-04,Sports,Yoga Mat,West,In-Store,Cash,7,90.67,58.62,634.69,22,5,2024,9,September,410.34,224.35,35.35
ORD105475,2024-09-19,Home & Kitchen,Storage Boxes,West,Online,Cash,7,243.32,161.06,1703.24,30,4,2024,9,September,1127.42,575.82,33.81
ORD107877,2023-11-26,Clothing,Running Shoes,East,Online,Cash,8,139.74,65.28,1117.92,40,3,2023,11,November,522.24,595.68,53.28
ORD109428,2023-03-02,Clothing,Denim Jacket,Central,In-Store,Credit Card,5,358.39,147.17,1791.95,36,3,2023,3,March,735.85,1056.1,58.94
ORD105146,2024-11-28,Toys,Board Game,South,Online,Cash,5,342.48,231.07,1712.4,35,5,2024,11,November,1155.35,557.05,32.53
ORD105866,2023-08-23,Beauty,Shampoo,North,In-Store,Credit Card,10,322.95,188.0,3229.5,25,5,2023,8,August,1880.0,1349.5,41.79
ORD102999,2023-12-16,Home & Kitchen,Table Lamp,South,In-Store,Debit Card,4,91.94,52.27,367.76,52,1,2023,12,December,209.08,158.68,43.15
ORD102315,2024-07-24,Home & Kitchen,Non-Stick Pan,Central,In-Store,Cash,7,251.41,286.51,1759.87,19,3,2024,7,July,2005.57,-245.7,-13.96
ORD107522,2023-06-18,Toys,Rc Car,North,Online,Upi,6,311.31,236.53,1867.86,48,3,2023,6,June,1419.18,448.68,24.02
ORD108433,2023-12-18,Electronics,Wireless Mouse,West,Online,Upi,6,366.18,223.68,2197.08,41,5,2023,12,December,1342.08,855.0,38.92
ORD102109,2023-05-29,Sports,Dumbbell Set,North,In-Store,Net Banking,3,232.99,177.14,698.97,23,4,2023,5,May,531.42,167.55,23.97
ORD107912,2023-06-03,Sports,Resistance Bands,East,In-Store,Net Banking,8,422.94,259.66,3383.52,56,4,2023,6,June,2077.28,1306.24,38.61
ORD103900,2024-09-08,Home & Kitchen,Bedsheet Set,South,Online,Upi,6,50.2,35.14,301.2,32,3,2024,9,September,210.84,90.36,30.0
ORD105319,2024-04-07,Toys,Building Blocks,South,In-Store,Cash,10,182.79,108.21,1827.9,30,3,2024,4,April,1082.1,745.8,40.8
ORD104703,2023-06-05,Sports,Resistance Bands,South,In-Store,Credit Card,6,149.19,145.92,895.14,34,3,2023,6,June,875.52,19.62,2.19
ORD100338,2023-02-10,Clothing,Cotton T-Shirt,East,Online,Debit Card,9,50.29,37.77,452.61,30,4,2023,2,February,339.93,112.68,24.9
ORD104030,2024-10-18,Toys,Board Game,East,Online,Upi,9,121.64,94.16,1094.76,32,2,2024,10,October,847.44,247.32,22.59
ORD100437,2024-03-30,Clothing,Cotton T-Shirt,East,Online,Debit Card,2,434.73,204.7,869.46,60,3,2024,3,March,409.4,460.06,52.91
ORD103249,2024-03-03,Home & Kitchen,Table Lamp,West,Online,Cash,3,50.08,29.53,150.24,38,4,2024,3,March,88.59,61.65,41.03
ORD109291,2024-02-26,Clothing,Running Shoes,North,Online,Cash,2,267.34,180.44,534.68,18,3,2024,2,February,360.88,173.8,32.51
ORD103785,2023-05-17,Home & Kitchen,Non-Stick Pan,East,In-Store,Debit Card,9,29.82,16.66,268.38,32,3,2023,5,May,149.94,118.44,44.13
ORD107616,2024-09-01,Clothing,Running Shoes,East,Online,Cash,7,33.58,18.42,235.06,36,2,2024,9,September,128.94,106.12,45.15
ORD102512,2024-06-19,Toys,Rc Car,South,In-Store,Debit Card,6,24.96,10.93,149.76,28,3,2024,6,June,65.58,84.18,56.21
ORD103938,2023-02-15,Beauty,Face Serum,North,Online,Net Banking,6,357.8,269.35,2146.8,30,3,2023,2,February,1616.1,530.7,24.72
ORD108293,2023-06-08,Electronics,Bluetooth Speaker,East,In-Store,Credit Card,2,432.96,303.0,865.92,45,4,2023,6,June,606.0,259.92,30.02
ORD102067,2024-03-15,Beauty,Lipstick,East,Online,Cash,9,155.63,67.63,1400.67,18,5,2024,3,March,608.67,792.0,56.54
ORD105201,2024-10-11,Beauty,Shampoo,West,Online,Upi,10,445.53,350.56,4455.3,26,2,2024,10,October,3505.6,949.7,21.32
ORD100567,2023-06-04,Beauty,Shampoo,West,Online,Cash,8,297.22,179.33,2377.76,58,3,2023,6,June,1434.64,943.12,39.66
ORD103724,2023-08-28,Home & Kitchen,Non-Stick Pan,East,Online,Cash,9,175.19,113.1,1576.71,42,3,2023,8,August,1017.9,558.81,35.44
ORD108835,2024-02-21,Sports,Resistance Bands,East,Online,Debit Card,3,149.11,102.01,447.33,18,2,2024,2,February,306.03,141.3,31.59
ORD104607,2023-12-31,Toys,Board Game,West,Online,Cash,6,466.24,284.03,2797.44,38,2,2023,12,December,1704.18,1093.26,39.08
ORD105781,2024-06-11,Clothing,Running Shoes,South,Online,Debit Card,6,7.51,4.23,45.06,35,4,2024,6,June,25.38,19.68,43.68
ORD102864,2024-04-08,Home & Kitchen,Bedsheet Set,West,Online,Cash,2,318.18,251.49,636.36,33,5,2024,4,April,502.98,133.38,20.96
ORD107993,2024-01-28,Clothing,Summer Dress,East,Online,Upi,5,251.48,136.23,1257.4,32,4,2024,1,January,681.15,576.25,45.83
ORD100729,2023-12-13,Sports,Football,West,Online,Cash,2,207.77,108.97,415.54,35,1,2023,12,December,217.94,197.6,47.55
ORD100047,2024-11-24,Clothing,Running Shoes,North,Online,Cash,10,49.69,36.48,496.9,64,4,2024,11,November,364.8,132.1,26.58
ORD100571,2023-01-30,Sports,Cricket Bat,Central,Online,Credit Card,3,401.04,193.15,1203.12,27,5,2023,1,January,579.45,623.67,51.84
ORD101603,2023-01-20,Sports,Football,Central,Online,Net Banking,8,80.11,51.2,640.88,40,1,2023,1,January,409.6,231.28,36.09
ORD100850,2023-05-23,Beauty,Shampoo,North,In-Store,Credit Card,6,475.96,379.78,2855.76,18,4,2023,5,May,2278.68,577.08,20.21
ORD106042,2023-11-03,Home & Kitchen,Non-Stick Pan,North,Online,Debit Card,7,251.22,144.4,1758.54,37,4,2023,11,November,1010.8,747.74,42.52
ORD106497,2023-09-26,Sports,Yoga Mat,East,In-Store,Net Banking,10,418.45,232.72,4184.5,18,3,2023,9,September,2327.2,1857.3,44.39
ORD110176,2024-03-21,Home & Kitchen,Storage Boxes,East,In-Store,Debit Card,2,401.0,192.67,802.0,38,3,2024,3,March,385.34,416.66,51.95
ORD102563,2024-09-12,Sports,Cricket Bat,South,In-Store,Cash,1,144.56,88.52,144.56,25,5,2024,9,September,88.52,56.04,38.77
ORD104620,2023-08-06,Toys,Puzzle Set,North,In-Store,Debit Card,1,452.15,145.92,452.15,44,1,2023,8,August,145.92,306.23,67.73
ORD107265,2024-03-13,Electronics,Wireless Mouse,South,In-Store,Credit Card,4,154.94,75.85,619.76,38,2,2024,3,March,303.4,316.36,51.05
ORD109518,2023-01-23,Sports,Football,South,Online,Credit Card,8,489.68,269.65,3917.44,29,3,2023,1,January,2157.2,1760.24,44.93
ORD109994,2024-12-30,Home & Kitchen,Blender,Central,Online,Credit Card,6,359.57,205.01,2157.42,23,3,2024,12,December,1230.06,927.36,42.98
ORD103050,2024-02-11,Sports,Football,South,In-Store,Debit Card,2,225.28,180.18,450.56,30,2,2024,2,February,360.36,90.2,20.02
ORD102481,2024-04-09,Toys,Puzzle Set,South,In-Store,Debit Card,1,251.41,73.22,251.41,18,3,2024,4,April,73.22,178.19,70.88
ORD102939,2023-07-19,Clothing,Wool Sweater,South,In-Store,Credit Card,4,181.03,129.69,724.12,23,2,2023,7,July,518.76,205.36,28.36
ORD103066,2023-08-04,Toys,Rc Car,West,In-Store,Cash,5,435.85,145.92,2179.25,23,1,2023,8,August,729.6,1449.65,66.52
ORD109493,2023-06-06,Home & Kitchen,Non-Stick Pan,Central,In-Store,Cash,4,70.2,40.36,280.8,20,5,2023,6,June,161.44,119.36,42.51
ORD100692,2023-10-28,Home & Kitchen,Table Lamp,West,Online,Debit Card,2,485.91,258.77,971.82,21,4,2023,10,October,517.54,454.28,46.75
ORD105775,2023-05-22,Clothing,Summer Dress,Central,Online,Upi,9,141.0,89.08,1269.0,18,3,2023,5,May,801.72,467.28,36.82
ORD100821,2024-06-24,Clothing,Wool Sweater,North,In-Store,Debit Card,10,481.93,292.83,4819.3,34,2,2024,6,June,2928.3,1891.0,39.24
ORD106987,2023-11-15,Beauty,Perfume,West,Online,Net Banking,8,181.9,129.15,1455.2,19,4,2023,11,November,1033.2,422.0,29.0
ORD109426,2023-08-09,Toys,Puzzle Set,South,In-Store,Debit Card,10,368.13,145.92,3681.3,44,4,2023,8,August,1459.2,2222.1,60.36
ORD103762,2023-08-31,Sports,Football,Central,In-Store,Net Banking,1,248.08,158.69,248.08,35,2,2023,8,August,158.69,89.39,36.03
ORD103752,2024-04-14,Sports,Football,West,Online,Upi,8,24.5,13.36,196.0,26,5,2024,4,April,106.88,89.12,45.47
ORD109175,2024-03-07,Sports,Football,South,Online,Cash,10,215.07,158.49,2150.7,35,2,2024,3,March,1584.9,565.8,26.31
ORD109453,2023-08-02,Sports,Resistance Bands,West,In-Store,Credit Card,7,249.04,195.79,1743.28,41,3,2023,8,August,1370.53,372.75,21.38
ORD100365,2024-07-24,Sports,Cricket Bat,East,In-Store,Cash,9,343.23,198.51,3089.07,37,4,2024,7,July,1786.59,1302.48,42.16
ORD100116,2024-01-27,Clothing,Running Shoes,Central,In-Store,Upi,5,376.55,272.15,1882.75,37,5,2024,1,January,1360.75,522.0,27.73
ORD105672,2024-02-12,Sports,Football,East,In-Store,Credit Card,1,275.16,160.91,275.16,32,3,2024,2,February,160.91,114.25,41.52
ORD100670,2023-07-24,Electronics,Usb-C Hub,South,Online,Cash,4,13.91,10.92,55.64,26,4,2023,7,July,43.68,11.96,21.5
ORD107324,2024-07-28,Electronics,Usb-C Hub,East,Online,Upi,5,54.39,39.54,271.95,34,1,2024,7,July,197.7,74.25,27.3
ORD101047,2024-05-17,Electronics,Laptop Stand,Central,In-Store,Credit Card,10,283.88,184.48,2838.8,51,5,2024,5,May,1844.8,994.0,35.01
ORD102227,2023-02-06,Home & Kitchen,Storage Boxes,North,Online,Credit Card,8,336.63,134.71,2693.04,30,3,2023,2,February,1077.68,1615.36,59.98
ORD106504,2023-03-30,Clothing,Cotton T-Shirt,North,In-Store,Credit Card,10,251.41,350.1,2514.1,56,4,2023,3,March,3501.0,-986.9,-39.25
ORD105968,2024-08-13,Electronics,Laptop Stand,Central,Online,Credit Card,10,445.93,341.5,4459.3,59,5,2024,8,August,3415.0,1044.3,23.42
ORD105441,2024-10-28,Sports,Resistance Bands,North,Online,Upi,9,355.64,260.15,3200.76,33,3,2024,10,October,2341.35,859.41,26.85
ORD106125,2024-09-20,Electronics,Usb-C Hub,East,Online,Cash,1,366.35,173.58,366.35,35,4,2024,9,September,173.58,192.77,52.62
ORD101126,2023-02-21,Electronics,Smartwatch,North,Online,Credit Card,10,90.88,50.16,908.8,32,3,2023,2,February,501.6,407.2,44.81
ORD109140,2023-01-30,Beauty,Lipstick,Central,Online,Net Banking,2,186.7,104.05,373.4,34,3,2023,1,January,208.1,165.3,44.27
ORD105257,2023-12-10,Electronics,Laptop Stand,East,In-Store,Cash,1,449.64,354.49,449.64,40,2,2023,12,December,354.49,95.15,21.16
ORD103107,2023-03-31,Sports,Dumbbell Set,East,In-Store,Credit Card,6,15.15,7.57,90.9,33,4,2023,3,March,45.42,45.48,50.03
ORD106167,2024-11-21,Electronics,Usb-C Hub,West,Online,Debit Card,6,36.24,15.58,217.44,48,5,2024,11,November,93.48,123.96,57.01
ORD102482,2023-11-24,Electronics,Laptop Stand,East,In-Store,Cash,5,110.83,49.01,554.15,51,3,2023,11,November,245.05,309.1,55.78
ORD103716,2023-08-09,Beauty,Perfume,West,In-Store,Net Banking,6,302.68,237.4,1816.08,38,3,2023,8,August,1424.4,391.68,21.57
ORD110451,2024-08-08,Toys,Puzzle Set,South,In-Store,Net Banking,8,226.13,110.04,1809.04,26,5,2024,8,August,880.32,928.72,51.34
ORD102920,2023-03-21,Toys,Building Blocks,East,Online,Cash,4,267.07,149.08,1068.28,49,5,2023,3,March,596.32,471.96,44.18
ORD105744,2023-04-13,Sports,Yoga Mat,West,In-Store,Upi,9,150.99,68.47,1358.91,29,5,2023,4,April,616.23,742.68,54.65
ORD106683,2024-07-08,Sports,Cricket Bat,Central,In-Store,Credit Card,7,74.0,51.05,518.0,41,2,2024,7,July,357.35,160.65,31.01
ORD103915,2024-08-08,Home & Kitchen,Bedsheet Set,North,In-Store,Upi,9,396.83,310.39,3571.47,31,5,2024,8,August,2793.51,777.96,21.78
ORD105405,2024-01-21,Beauty,Shampoo,Central,Online,Cash,5,100.3,68.58,501.5,40,3,2024,1,January,342.9,158.6,31.63
ORD105962,2023-08-14,Electronics,Resistance Bands,South,Online,Upi,10,80.37,33.59,803.7,46,4,2023,8,August,335.9,467.8,58.21
ORD103528,2024-06-23,Toys,Board Game,South,Online,Debit Card,9,428.14,236.6,3853.26,46,4,2024,6,June,2129.4,1723.86,44.74
ORD105614,2023-05-09,Home & Kitchen,Table Lamp,East,Online,Credit Card,1,390.98,193.78,390.98,27,4,2023,5,May,193.78,197.2,50.44
ORD100974,2023-09-06,Toys,Rc Car,East,In-Store,Cash,3,476.64,252.95,1429.92,39,3,2023,9,September,758.85,671.07,46.93
ORD106351,2023-01-18,Clothing,Running Shoes,North,Online,Debit Card,4,255.39,118.72,1021.56,27,3,2023,1,January,474.88,546.68,53.51
ORD100439,2023-02-17,Electronics,Laptop Stand,North,Online,Cash,8,251.1,162.5,2008.8,42,4,2023,2,February,1300.0,708.8,35.28
ORD106692,2023-01-16,Sports,Yoga Mat,North,In-Store,Upi,4,77.03,44.26,308.12,53,2,2023,1,January,177.04,131.08,42.54
ORD103398,2024-10-17,Sports,Football,West,In-Store,Credit Card,6,351.59,256.84,2109.54,45,1,2024,10,October,1541.04,568.5,26.95
ORD101907,2023-12-20,Sports,Football,East,In-Store,Debit Card,2,279.28,131.21,558.56,39,2,2023,12,December,262.42,296.14,53.02
ORD109013,2023-10-18,Beauty,Sunscreen,Central,Online,Credit Card,6,293.05,154.56,1758.3,41,3,2023,10,October,927.36,830.94,47.26
ORD103958,2024-03-12,Clothing,Wool Sweater,North,Online,Upi,10,281.23,118.86,2812.3,31,3,2024,3,March,1188.6,1623.7,57.74
ORD105470,2024-10-10,Sports,Resistance Bands,East,Online,Cash,1,149.72,68.99,149.72,35,5,2024,10,October,68.99,80.73,53.92
ORD102438,2024-01-06,Electronics,Usb-C Hub,North,Online,Upi,9,182.87,107.92,1645.83,54,5,2024,1,January,971.28,674.55,40.99
ORD103533,2024-02-20,Clothing,Summer Dress,North,Online,Cash,7,453.6,273.32,3175.2,34,5,2024,2,February,1913.24,1261.96,39.74
ORD104633,2024-06-24,Beauty,Sunscreen,North,Online,Cash,9,132.5,70.67,1192.5,20,3,2024,6,June,636.03,556.47,46.66
ORD109437,2023-08-25,Electronics,Bluetooth Speaker,North,In-Store,Debit Card,4,474.88,314.16,1899.52,42,1,2023,8,August,1256.64,642.88,33.84
ORD103759,2024-01-05,Beauty,Lipstick,North,In-Store,Net Banking,3,45.29,18.32,135.87,49,4,2024,1,January,54.96,80.91,59.55
ORD108463,2024-01-04,Home & Kitchen,Table Lamp,Central,In-Store,Cash,10,222.87,152.35,2228.7,38,2,2024,1,January,1523.5,705.2,31.64
ORD106642,2023-05-11,Home & Kitchen,Non-Stick Pan,North,Online,Debit Card,8,227.62,138.44,1820.96,18,4,2023,5,May,1107.52,713.44,39.18
ORD102382,2023-08-03,Clothing,Wool Sweater,South,Online,Credit Card,1,83.35,56.28,83.35,35,1,2023,8,August,56.28,27.07,32.48
ORD108605,2023-06-29,Clothing,Wool Sweater,East,In-Store,Net Banking,2,119.98,49.45,239.96,21,2,2023,6,June,98.9,141.06,58.78
ORD101403,2023-12-15,Home & Kitchen,Storage Boxes,West,In-Store,Credit Card,6,467.6,243.79,2805.6,38,3,2023,12,December,1462.74,1342.86,47.86
ORD100346,2023-12-19,Beauty,Perfume,West,In-Store,Cash,10,413.22,222.78,4132.2,46,3,2023,12,December,2227.8,1904.4,46.09
ORD108237,2023-11-19,Clothing,Summer Dress,Central,In-Store,Upi,2,172.23,145.92,344.46,18,2,2023,11,November,291.84,52.62,15.28
ORD108750,2024-07-16,Home & Kitchen,Non-Stick Pan,Central,In-Store,Cash,7,313.22,185.99,2192.54,43,4,2024,7,July,1301.93,890.61,40.62
ORD100529,2023-03-13,Clothing,Summer Dress,West,In-Store,Upi,4,11.0,5.46,44.0,40,2,2023,3,March,21.84,22.16,50.36
ORD102184,2024-01-26,Toys,Action Figure,South,In-Store,Net Banking,10,269.35,202.49,2693.5,31,2,2024,1,January,2024.9,668.6,24.82
ORD106759,2023-01-27,Toys,Puzzle Set,South,In-Store,Cash,3,45.75,25.17,137.25,30,4,2023,1,January,75.51,61.74,44.98
ORD107630,2023-07-04,Home & Kitchen,Bedsheet Set,East,In-Store,Credit Card,6,251.41,286.74,1508.46,38,4,2023,7,July,1720.44,-211.98,-14.05
ORD100808,2024-09-13,Sports,Resistance Bands,East,In-Store,Net Banking,2,108.4,59.35,216.8,31,2,2024,9,September,118.7,98.1,45.25
ORD105285,2023-12-24,Sports,Cricket Bat,West,Online,Credit Card,10,381.39,211.91,3813.9,46,2,2023,12,December,2119.1,1694.8,44.44
ORD105831,2024-12-12,Clothing,Cotton T-Shirt,South,Online,Credit Card,2,463.05,189.93,926.1,58,5,2024,12,December,379.86,546.24,58.98
ORD102658,2023-05-30,Electronics,Action Figure,South,Online,Credit Card,2,473.85,215.3,947.7,20,1,2023,5,May,430.6,517.1,54.56
ORD106645,2024-04-17,Electronics,Smartwatch,North,In-Store,Cash,10,355.24,148.56,3552.4,40,1,2024,4,April,1485.6,2066.8,58.18
ORD100265,2024-11-30,Clothing,Denim Jacket,South,Online,Upi,2,18.41,9.0,36.82,53,5,2024,11,November,18.0,18.82,51.11
ORD102189,2023-09-27,Home & Kitchen,Non-Stick Pan,West,In-Store,Cash,8,336.18,151.45,2689.44,49,3,2023,9,September,1211.6,1477.84,54.95
ORD107916,2024-10-02,Sports,Dumbbell Set,North,In-Store,Cash,9,199.67,115.01,1797.03,18,1,2024,10,October,1035.09,761.94,42.4
ORD108666,2023-12-09,Electronics,Smartwatch,South,Online,Upi,6,169.63,83.7,1017.78,33,3,2023,12,December,502.2,515.58,50.66
ORD107340,2024-04-17,Clothing,Wool Sweater,North,In-Store,Debit Card,8,304.55,224.69,2436.4,35,1,2024,4,April,1797.52,638.88,26.22
ORD102508,2024-01-31,Sports,Resistance Bands,West,Online,Credit Card,5,30.87,20.81,154.35,21,3,2024,1,January,104.05,50.3,32.59
ORD107255,2024-01-18,Electronics,Smartwatch,East,Online,Debit Card,1,246.84,153.08,246.84,37,3,2024,1,January,153.08,93.76,37.98
ORD102707,2024-01-09,Sports,Football,Central,Online,Debit Card,4,361.61,218.63,1446.44,18,5,2024,1,January,874.52,571.92,39.54
ORD108403,2024-11-10,Beauty,Face Serum,West,Online,Net Banking,3,184.25,137.42,552.75,52,5,2024,11,November,412.26,140.49,25.42
ORD100597,2023-03-04,Electronics,Laptop Stand,East,In-Store,Debit Card,7,152.87,118.67,1070.09,18,1,2023,3,March,830.69,239.4,22.37
ORD107027,2024-01-04,Electronics,Wireless Mouse,East,In-Store,Credit Card,7,359.93,284.76,2519.51,30,3,2024,1,January,1993.32,526.19,20.88
ORD101429,2023-06-10,Clothing,Cotton T-Shirt,Central,In-Store,Credit Card,7,415.63,284.19,2909.41,36,4,2023,6,June,1989.33,920.08,31.62
ORD107186,2024-04-17,Home & Kitchen,Table Lamp,South,Online,Cash,4,492.43,239.45,1969.72,41,3,2024,4,April,957.8,1011.92,51.37
ORD108961,2024-06-08,Electronics,Wireless Mouse,Central,Online,Cash,4,249.14,178.17,996.56,49,5,2024,6,June,712.68,283.88,28.49
ORD100584,2023-01-21,Electronics,Bluetooth Speaker,South,In-Store,Upi,8,282.53,181.21,2260.24,38,1,2023,1,January,1449.68,810.56,35.86
ORD108603,2024-08-16,Toys,Rc Car,West,In-Store,Upi,4,196.57,136.38,786.28,24,3,2024,8,August,545.52,240.76,30.62
ORD107654,2024-10-01,Home & Kitchen,Table Lamp,South,In-Store,Upi,1,114.5,57.01,114.5,33,5,2024,10,October,57.01,57.49,50.21
ORD103443,2024-10-29,Electronics,Perfume,West,In-Store,Cash,10,97.65,69.27,976.5,23,1,2024,10,October,692.7,283.8,29.06
ORD102837,2023-10-30,Clothing,Cotton T-Shirt,West,In-Store,Credit Card,4,128.03,66.79,512.12,32,4,2023,10,October,267.16,244.96,47.83
ORD106381,2024-10-31,Toys,Building Blocks,West,In-Store,Credit Card,6,260.13,152.55,1560.78,46,4,2024,10,October,915.3,645.48,41.36
ORD109335,2024-10-11,Toys,Building Blocks,South,In-Store,Upi,9,191.7,102.22,1725.3,57,1,2024,10,October,919.98,805.32,46.68
ORD101008,2024-01-25,Electronics,Storage Boxes,North,In-Store,Credit Card,1,281.73,148.88,281.73,30,5,2024,1,January,148.88,132.85,47.16
ORD109286,2024-05-12,Home & Kitchen,Storage Boxes,North,Online,Debit Card,4,129.74,74.91,518.96,21,4,2024,5,May,299.64,219.32,42.26
ORD103896,2024-10-08,Sports,Dumbbell Set,West,Online,Net Banking,3,133.03,78.12,399.09,43,5,2024,10,October,234.36,164.73,41.28
ORD108535,2024-03-16,Sports,Resistance Bands,North,In-Store,Net Banking,5,50.85,30.5,254.25,33,2,2024,3,March,152.5,101.75,40.02
ORD105609,2024-12-28,Clothing,Cotton T-Shirt,East,Online,Debit Card,8,242.22,124.73,1937.76,38,5,2024,12,December,997.84,939.92,48.51
ORD104132,2024-07-20,Electronics,Bluetooth Speaker,Central,Online,Debit Card,7,236.16,182.11,1653.12,27,5,2024,7,July,1274.77,378.35,22.89
ORD105130,2023-09-09,Home & Kitchen,Bedsheet Set,East,Online,Debit Card,8,35.81,27.53,286.48,39,2,2023,9,September,220.24,66.24,23.12
ORD100754,2023-03-15,Clothing,Denim Jacket,West,Online,Credit Card,3,66.79,47.93,200.37,45,3,2023,3,March,143.79,56.58,28.24
ORD108893,2023-06-06,Beauty,Sunscreen,West,In-Store,Cash,10,391.13,258.76,3911.3,18,4,2023,6,June,2587.6,1323.7,33.84
ORD100182,2024-06-20,Electronics,Smartwatch,West,Online,Credit Card,2,254.19,171.87,508.38,29,5,2024,6,June,343.74,164.64,32.39
ORD109826,2024-07-04,Clothing,Running Shoes,East,Online,Net Banking,2,327.83,154.14,655.66,37,3,2024,7,July,308.28,347.38,52.98
ORD107496,2024-09-06,Home & Kitchen,Bedsheet Set,Central,Online,Upi,2,430.44,333.81,860.88,43,3,2024,9,September,667.62,193.26,22.45
ORD106737,2024-06-27,Clothing,Summer Dress,Central,In-Store,Net Banking,7,263.29,122.33,1843.03,40,3,2024,6,June,856.31,986.72,53.54
ORD103046,2023-06-04,Sports,Dumbbell Set,North,Online,Debit Card,9,228.49,177.17,2056.41,34,1,2023,6,June,1594.53,461.88,22.46
ORD110139,2024-04-18,Clothing,Summer Dress,South,In-Store,Cash,10,228.6,182.42,2286.0,39,4,2024,4,April,1824.2,461.8,20.2
ORD100602,2024-04-09,Electronics,Wireless Mouse,West,In-Store,Net Banking,1,383.93,177.98,383.93,26,4,2024,4,April,177.98,205.95,53.64
ORD101437,2023-07-19,Beauty,Sunscreen,North,Online,Cash,9,187.72,101.91,1689.48,38,4,2023,7,July,917.19,772.29,45.71
ORD109751,2024-06-12,Electronics,Wireless Mouse,South,Online,Net Banking,4,463.55,202.36,1854.2,28,3,2024,6,June,809.44,1044.76,56.35
ORD107140,2024-11-19,Beauty,Lipstick,South,In-Store,Cash,4,409.76,272.1,1639.04,24,4,2024,11,November,1088.4,550.64,33.6
ORD107736,2023-06-16,Electronics,Laptop Stand,North,Online,Cash,2,158.88,91.57,317.76,54,5,2023,6,June,183.14,134.62,42.37
ORD107649,2023-09-09,Home & Kitchen,Table Lamp,West,In-Store,Upi,2,458.32,218.06,916.64,38,5,2023,9,September,436.12,480.52,52.42
ORD103649,2024-10-19,Home & Kitchen,Blender,Central,In-Store,Cash,5,7.04,2.88,35.2,38,3,2024,10,October,14.4,20.8,59.09
ORD106748,2024-11-08,Clothing,Summer Dress,South,In-Store,Cash,6,460.73,214.0,2764.38,47,3,2024,11,November,1284.0,1480.38,53.55
ORD102454,2023-04-29,Sports,Cricket Bat,North,Online,Cash,1,329.11,161.71,329.11,38,4,2023,4,April,161.71,167.4,50.86
ORD100701,2024-01-26,Electronics,Laptop Stand,South,Online,Cash,7,213.8,120.67,1496.6,19,2,2024,1,January,844.69,651.91,43.56
