OrderID,OrderDate,Category,Product,Region,Channel,PaymentMethod,Quantity,UnitPrice,CostPrice,Revenue,CustomerAge,CustomerRating
ORD107877,2023-11-26,clothing ,Running Shoes,East,Online,Cash,8,$139.74,65.28,1117.92,40.0,
ORD109428,02-Mar-2023,Clothing,Denim Jacket,Central,In-Store,Credit Card,5 ,358.39,147.17,1791.95,36.0,3.0
ORD105146,2024-11-28,TOYS,Board Game,South,Online,Cash,5 ,342.48,231.07,1712.4,35.0,5.0
ORD105866,23/08/2023, Beauty,Shampoo,North,In-Store,Credit Card,10 ,322.95,188.0,3229.5,25.0,5.0
ORD102999,16-Dec-2023,Home & Kitchen,Table Lamp,South,In-Store,Debit Card,4 ,91.94,52.27,367.76,52.0,1.0
ORD102315,24/07/2024, Home & Kitchen,Non-stick Pan,Central,In-Store,Cash,7,,286.51,2947.14,19.0,3.0
ORD107522,18-Jun-2023, Toys,RC Car,North,Online,UPI,6,311.31,236.53,1867.86,48.0,
ORD108433,12-18-2023,Electronics,Wireless Mouse,West,Online,UPI,6,366.18,223.68,2197.08,41.0,5.0
ORD102109,2023-05-29,SPORTS,Dumbbell Set,North,In-Store,Net Banking,3,$232.99,177.14,698.97,23.0,4.0
ORD107912,03/06/2023,Sports,Resistance Bands,East,In-Store,Net Banking,8,422.94,259.66,3383.52,56.0,4.0
ORD103900,09-08-2024,HOME & KITCHEN,Bedsheet Set,South,Online,UPI,6,50.2,35.14,301.2,32.0,3.0
ORD105319,07/04/2024, Toys,Building Blocks,South,In-Store,Cash,10,182.79,108.21,1827.9,30.0,3.0
ORD104703,2023-06-05,Sports,Resistance Bands,South,In-Store,Credit Card,6,149.19,,895.14,34.0,
ORD100338,10/02/2023,Clothing,Cotton T-Shirt,,Online,Debit Card,9,50.29,37.77,452.61,30.0,4.0
ORD104030,18-Oct-2024, Toys,Board Game,East,Online,UPI,9,121.64,94.16,1094.76,32.0,2.0
ORD100437,2024-03-30, Clothing,Cotton T-Shirt,East,Online,Debit Card,2,434.73,204.7,869.46,60.0,3.0
ORD103249,03/03/2024,home & kitchen ,Table Lamp,West,Online,Cash,3,$50.08,29.53,150.24,,4.0
ORD105474,,Sports,Football,South,In-Store,Debit Card,5,248.12,140.86,1240.6,48.0,4.0
ORD109291,02-26-2024,Clothing,Running Shoes,North,Online,Cash,2,267.34,180.44,534.68,18.0,
ORD103785,2023-05-17,HOME & KITCHEN,Non-stick Pan,,In-Store,Debit Card,9,29.82,16.66,268.38,32.0,
ORD107616,09-01-2024,Clothing,Running Shoes,East,Online,Cash,7,33.58,18.42,235.06,36.0,2.0
ORD102512,19-Jun-2024, Toys,RC Car,South,In-Store,Debit Card,,24.96,10.93,99.84,28.0,3.0
ORD103938,2023-02-15,Beauty,Face Serum,North,Online,Net Banking,6,357.8,269.35,2146.8,30.0,3.0
ORD108293,08/06/2023, Electronics,Bluetooth Speaker,East,In-Store,Credit Card,2 ,432.96,303.0,865.92,45.0,4.0
ORD102067,15/03/2024, Beauty,Lipstick,East,Online,Cash,9,155.63,67.63,1400.67,18.0,5.0
ORD105201,10-11-2024, Beauty,Shampoo,West,Online,UPI,10 ,445.53,350.56,4455.3,26.0,2.0
ORD100567,04-Jun-2023,Beauty,Shampoo,West,Online,Cash,8,$297.22,179.33,2377.76,58.0,3.0
ORD103724,28/08/2023, Home & Kitchen,Non-stick Pan,East,Online,Cash,9,175.19,113.1,1576.71,42.0,
ORD108835,21-Feb-2024, Sports,Resistance Bands,East,Online,Debit Card,3,149.11,102.01,447.33,18.0,2.0
ORD104607,2023-12-31,Toys,Board Game,West,Online,Cash,6 ,466.24,284.03,2797.44,38.0,2.0
ORD105781,11/06/2024,CLOTHING,Running Shoes,South,Online,Debit Card,6,7.51,4.23,45.06,35.0,4.0
ORD102864,08/04/2024, Home & Kitchen,Bedsheet Set,West,Online,Cash,2,$318.18,251.49,636.36,33.0,5.0
ORD107993,2024-01-28, Clothing,Summer Dress,East,Online,UPI,5,251.48,136.23,1257.4,32.0,4.0
ORD100729,13/12/2023,Sports,Football,West,Online,Cash,2,207.77,108.97,415.54,35.0,1.0
ORD100047,24-Nov-2024, Clothing,Running Shoes,North,Online,Cash,10,49.69,36.48,496.9,64.0,4.0
ORD100571,2023-01-30, Sports,Cricket Bat,Central,Online,,3,401.04,193.15,1203.12,27.0,5.0
ORD101603,2023-01-20, Sports,Football,Central,Online,Net Banking,8,80.11,51.2,640.88,40.0,1.0
ORD100850,23-May-2023, Beauty,Shampoo,North,In-Store,Credit Card,6,475.96,379.78,2855.76,18.0,4.0
ORD106042,03-Nov-2023,HOME & KITCHEN,Non-stick Pan,North,Online,Debit Card,7,251.22,144.4,1758.54,37.0,4.0
ORD106497,09-26-2023,Sports,Yoga Mat,East,In-Store,Net Banking,10,418.45,232.72,4184.5,18.0,3.0
ORD110176,21-Mar-2024,Home & Kitchen,Storage Boxes,East,In-Store,Debit Card,2 ,401.0,192.67,802.0,,3.0
ORD102563,12-Sep-2024,sports ,Cricket Bat,South,In-Store,Cash,1,144.56,88.52,144.56,25.0,5.0
ORD104620,06-Aug-2023,Toys,Puzzle Set,North,In-Store,Debit Card,1,452.15,,452.15,44.0,1.0
ORD107265,2024-03-13,ELECTRONICS,Wireless Mouse,South,In-Store,Credit Card,4,154.94,75.85,619.76,38.0,2.0
ORD109518,23-Jan-2023, Sports,Football,South,Online,Credit Card,8,489.68,269.65,3917.44,29.0,3.0
ORD109994,30/12/2024,Home & Kitchen,Blender,Central,Online,Credit Card,,359.57,205.01,2876.56,23.0,
ORD103050,11/02/2024,SPORTS,Football,South,In-Store,Debit Card,2 ,225.28,180.18,450.56,30.0,2.0
ORD102481,09/04/2024,Toys,Puzzle Set,South,In-Store,Debit Card,1,,73.22,160.32,18.0,3.0
ORD102939,07-19-2023, Clothing,Wool Sweater,South,In-Store,,4 ,181.03,129.69,724.12,23.0,2.0
ORD103066,08-04-2023,TOYS,RC Car,West,In-Store,Cash,5,435.85,,2179.25,23.0,1.0
ORD109493,06-06-2023,HOME & KITCHEN,Non-stick Pan,Central,In-Store,Cash,4,70.2,40.36,280.8,20.0,5.0
ORD100692,2023-10-28, Home & Kitchen,Table Lamp,West,Online,Debit Card,2 ,$485.91,258.77,971.82,21.0,4.0
ORD105775,22/05/2023, Clothing,Summer Dress,Central,Online,UPI,9,141.0,89.08,1269.0,18.0,3.0
ORD100821,06-24-2024,clothing ,Wool Sweater,North,In-Store,Debit Card,10,481.93,292.83,4819.3,34.0,2.0
ORD106987,15-Nov-2023, Beauty,Perfume,West,Online,Net Banking,8,$181.9,129.15,1455.2,19.0,4.0
ORD109426,08-09-2023, Toys,Puzzle Set,South,In-Store,Debit Card,10,368.13,,3681.3,44.0,4.0
ORD103762,31/08/2023,Sports,Football,Central,In-Store,Net Banking,1,248.08,158.69,248.08,35.0,2.0
ORD103752,2024-04-14,Sports,Football,West,Online,UPI,8,24.5,13.36,196.0,26.0,5.0
ORD109175,07/03/2024,SPORTS,Football,South,Online,Cash,10,215.07,158.49,2150.7,35.0,2.0
ORD109453,02-Aug-2023,sports ,Resistance Bands,West,In-Store,Credit Card,7,249.04,195.79,1743.28,41.0,3.0
ORD100365,07-24-2024,sports ,Cricket Bat,East,In-Store,Cash,9 ,$343.23,198.51,3089.07,37.0,4.0
ORD100116,27-Jan-2024,CLOTHING,Running Shoes,Central,In-Store,UPI,5,376.55,272.15,1882.75,37.0,5.0
ORD105672,12/02/2024,sports ,Football,,In-Store,,1,275.16,160.91,275.16,32.0,3.0
ORD100670,2023-07-24,Electronics,USB-C Hub,South,Online,Cash,4,13.91,10.92,55.64,26.0,4.0
ORD107324,28-Jul-2024,Electronics,USB-C Hub,East,Online,UPI,5,54.39,39.54,271.95,34.0,1.0
ORD101047,17-May-2024,ELECTRONICS,Laptop Stand,Central,In-Store,Credit Card,10,283.88,184.48,2838.8,51.0,5.0
ORD102227,06-Feb-2023, Home & Kitchen,Storage Boxes,North,Online,Credit Card,8,336.63,134.71,2693.04,30.0,3.0
ORD106504,03-30-2023,clothing ,Cotton T-Shirt,North,In-Store,Credit Card,10,,350.1,4663.3,56.0,4.0
ORD105968,2024-08-13,ELECTRONICS,Laptop Stand,Central,Online,Credit Card,10 ,$445.93,341.5,4459.3,59.0,5.0
ORD105441,10-28-2024, Sports,Resistance Bands,North,Online,UPI,9,355.64,260.15,3200.76,33.0,
ORD106125,20-Sep-2024,electronics ,USB-C Hub,East,Online,Cash,1,$366.35,173.58,366.35,35.0,4.0
ORD101126,2023-02-21,electronics ,Smartwatch,North,Online,Credit Card,10,90.88,50.16,908.8,32.0,3.0
ORD109140,30/01/2023, Beauty,Lipstick,Central,Online,Net Banking,2,186.7,104.05,373.4,34.0,3.0
ORD105257,12-10-2023, Electronics,Laptop Stand,East,In-Store,Cash,1,449.64,354.49,449.64,40.0,2.0
ORD103107,31-Mar-2023, Sports,Dumbbell Set,East,In-Store,Credit Card,,15.15,7.57,90.9,33.0,4.0
ORD106167,21/11/2024,,USB-C Hub,West,Online,Debit Card,6,$36.24,15.58,217.44,48.0,5.0
ORD102482,24/11/2023,Electronics,Laptop Stand,East,In-Store,Cash,5,$110.83,49.01,554.15,51.0,3.0
ORD103716,09-Aug-2023,Beauty,Perfume,West,In-Store,Net Banking,6,$302.68,237.4,1816.08,,3.0
ORD110451,08-08-2024,toys ,Puzzle Set,South,In-Store,Net Banking,8,226.13,110.04,1809.04,26.0,5.0
ORD102920,03-21-2023,Toys,Building Blocks,East,Online,Cash,4 ,267.07,149.08,1068.28,49.0,5.0
ORD105744,04-13-2023,sports ,Yoga Mat,West,In-Store,UPI,9,150.99,68.47,1358.91,29.0,5.0
ORD106683,07-08-2024, Sports,Cricket Bat,Central,In-Store,,7,74.0,51.05,518.0,41.0,2.0
ORD103915,08/08/2024,HOME & KITCHEN,Bedsheet Set,North,In-Store,UPI,9 ,396.83,310.39,3571.47,31.0,5.0
ORD105405,21/01/2024,beauty ,Shampoo,Central,Online,Cash,5,100.3,68.58,501.5,40.0,3.0
ORD105962,08-14-2023,,Resistance Bands,South,Online,UPI,10,80.37,33.59,803.7,46.0,4.0
ORD103528,06-23-2024,Toys,Board Game,South,Online,Debit Card,9 ,428.14,236.6,3853.26,46.0,4.0
ORD105614,2023-05-09,HOME & KITCHEN,Table Lamp,East,Online,Credit Card,1 ,390.98,193.78,390.98,27.0,4.0
ORD100974,06-Sep-2023,TOYS,RC Car,East,In-Store,Cash,3,476.64,252.95,1429.92,39.0,3.0
ORD106351,2023-01-18,CLOTHING,Running Shoes,North,Online,Debit Card,4 ,$255.39,118.72,1021.56,27.0,3.0
ORD100439,2023-02-17,electronics ,Laptop Stand,North,Online,Cash,8 ,251.1,162.5,2008.8,42.0,4.0
ORD106692,16-Jan-2023,Sports,Yoga Mat,North,In-Store,UPI,4,77.03,44.26,308.12,53.0,2.0
ORD103398,17-Oct-2024,sports ,Football,West,In-Store,Credit Card,6,$351.59,256.84,2109.54,45.0,1.0
ORD101907,12-20-2023,sports ,Football,East,In-Store,Debit Card,2,279.28,131.21,558.56,39.0,2.0
ORD109013,2023-10-18,beauty ,Sunscreen,Central,Online,Credit Card,6,293.05,154.56,1758.3,41.0,3.0
ORD103958,12/03/2024,CLOTHING,Wool Sweater,North,Online,UPI,10,281.23,118.86,2812.3,31.0,
ORD105470,10-Oct-2024,sports ,Resistance Bands,East,Online,Cash,1,149.72,68.99,149.72,35.0,5.0
ORD102438,2024-01-06,ELECTRONICS,USB-C Hub,North,Online,UPI,9 ,$182.87,107.92,1645.83,54.0,5.0
ORD103533,02-20-2024,Clothing,Summer Dress,North,Online,Cash,7,453.6,273.32,3175.2,34.0,5.0
ORD104633,2024-06-24,Beauty,Sunscreen,North,Online,Cash,9,132.5,70.67,1192.5,20.0,3.0
ORD109437,2023-08-25,ELECTRONICS,Bluetooth Speaker,North,In-Store,Debit Card,4,474.88,314.16,1899.52,42.0,1.0
ORD103759,2024-01-05,Beauty,Lipstick,North,In-Store,Net Banking,3,45.29,18.32,135.87,49.0,4.0
ORD108463,04-Jan-2024, Home & Kitchen,Table Lamp,Central,In-Store,Cash,10 ,222.87,152.35,2228.7,38.0,2.0
ORD106642,11/05/2023,home & kitchen ,Non-stick Pan,North,Online,Debit Card,8,227.62,138.44,1820.96,18.0,4.0
ORD102382,03-Aug-2023,Clothing,Wool Sweater,South,Online,Credit Card,1,$83.35,56.28,83.35,35.0,1.0
ORD108605,2023-06-29,CLOTHING,Wool Sweater,East,In-Store,Net Banking,2 ,119.98,49.45,239.96,21.0,2.0
ORD101403,12-15-2023,home & kitchen ,Storage Boxes,West,In-Store,Credit Card,6,$467.6,243.79,2805.6,,3.0
ORD100346,19-Dec-2023,BEAUTY,Perfume,West,In-Store,Cash,10,413.22,222.78,4132.2,46.0,3.0
ORD108237,19-Nov-2023,clothing ,Summer Dress,Central,In-Store,UPI,2 ,172.23,,344.46,18.0,2.0
ORD108750,2024-07-16,HOME & KITCHEN,Non-stick Pan,Central,In-Store,Cash,7,$313.22,185.99,2192.54,43.0,4.0
ORD100529,13-Mar-2023,clothing ,Summer Dress,West,In-Store,UPI,4,11.0,5.46,44.0,40.0,2.0
ORD102184,26/01/2024,Toys,Action Figure,South,In-Store,Net Banking,10,269.35,202.49,2693.5,31.0,2.0
ORD106759,27/01/2023,Toys,Puzzle Set,South,In-Store,Cash,3,45.75,25.17,137.25,30.0,4.0
ORD107630,04/07/2023,home & kitchen ,Bedsheet Set,East,In-Store,Credit Card,6,,286.74,2953.56,38.0,4.0
ORD100808,13-Sep-2024, Sports,Resistance Bands,East,In-Store,Net Banking,2,108.4,59.35,216.8,31.0,2.0
ORD105285,24/12/2023,sports ,Cricket Bat,West,Online,Credit Card,10,381.39,211.91,3813.9,46.0,2.0
ORD105831,12/12/2024, Clothing,Cotton T-Shirt,South,Online,Credit Card,2,463.05,189.93,926.1,58.0,5.0
ORD102658,05-30-2023,,Action Figure,South,Online,Credit Card,2 ,473.85,215.3,947.7,20.0,1.0
ORD106645,2024-04-17,Electronics,Smartwatch,North,In-Store,Cash,10,355.24,148.56,3552.4,40.0,1.0
ORD100265,30-Nov-2024,CLOTHING,Denim Jacket,South,Online,UPI,2,18.41,9.0,36.82,53.0,5.0
ORD102189,27-Sep-2023, Home & Kitchen,Non-stick Pan,West,In-Store,Cash,8,336.18,151.45,2689.44,49.0,
ORD107916,10-02-2024,SPORTS,Dumbbell Set,North,In-Store,Cash,9,199.67,115.01,1797.03,18.0,1.0
ORD108666,09/12/2023,Electronics,Smartwatch,South,Online,UPI,6,$169.63,83.7,1017.78,33.0,3.0
ORD107340,2024-04-17,clothing ,Wool Sweater,North,In-Store,Debit Card,8,304.55,224.69,2436.4,35.0,1.0
ORD102508,2024-01-31,SPORTS,Resistance Bands,West,Online,Credit Card,5,$30.87,20.81,154.35,21.0,3.0
ORD107255,01-18-2024,Electronics,Smartwatch,East,Online,Debit Card,1,246.84,153.08,246.84,37.0,3.0
ORD102707,09/01/2024,SPORTS,Football,Central,Online,Debit Card,4,361.61,218.63,1446.44,18.0,5.0
ORD108403,10/11/2024,BEAUTY,Face Serum,West,Online,Net Banking,3,184.25,137.42,552.75,52.0,5.0
ORD100597,04-Mar-2023,Electronics,Laptop Stand,East,In-Store,Debit Card,7,152.87,118.67,1070.09,18.0,1.0
ORD107027,2024-01-04,electronics ,Wireless Mouse,East,In-Store,Credit Card,7,359.93,284.76,2519.51,30.0,3.0
ORD101429,10/06/2023,CLOTHING,Cotton T-Shirt,Central,In-Store,Credit Card,7,415.63,284.19,2909.41,36.0,4.0
ORD107186,17-Apr-2024,Home & Kitchen,Table Lamp,South,Online,Cash,4,492.43,239.45,1969.72,41.0,3.0
ORD108961,08/06/2024, Electronics,Wireless Mouse,Central,Online,Cash,4 ,249.14,178.17,996.56,49.0,5.0
ORD100584,21-Jan-2023,ELECTRONICS,Bluetooth Speaker,South,In-Store,UPI,8,282.53,181.21,2260.24,,1.0
ORD108603,16-Aug-2024,toys ,RC Car,West,In-Store,UPI,4,196.57,136.38,786.28,24.0,3.0
ORD107654,01-Oct-2024,home & kitchen ,Table Lamp,South,In-Store,UPI,1,114.5,57.01,114.5,33.0,5.0
ORD103443,29-Oct-2024,,Perfume,West,In-Store,Cash,10,97.65,69.27,976.5,23.0,1.0
ORD102837,30/10/2023,clothing ,Cotton T-Shirt,West,In-Store,,4 ,128.03,66.79,512.12,32.0,4.0
ORD106381,2024-10-31,TOYS,Building Blocks,West,In-Store,Credit Card,6,260.13,152.55,1560.78,46.0,4.0
ORD109335,2024-10-11,toys ,Building Blocks,South,In-Store,UPI,9,191.7,102.22,1725.3,57.0,1.0
ORD101008,25-Jan-2024,,Storage Boxes,North,In-Store,Credit Card,1,$281.73,148.88,281.73,30.0,5.0
ORD109286,12-May-2024,home & kitchen ,Storage Boxes,North,Online,Debit Card,4,$129.74,74.91,518.96,21.0,4.0
ORD103896,08/10/2024, Sports,Dumbbell Set,West,Online,Net Banking,3,133.03,78.12,399.09,43.0,5.0
ORD108535,16-Mar-2024,sports ,Resistance Bands,North,In-Store,Net Banking,5,50.85,30.5,254.25,33.0,2.0
ORD105609,2024-12-28,Clothing,Cotton T-Shirt,East,Online,Debit Card,8 ,242.22,124.73,1937.76,38.0,5.0
ORD104132,20-Jul-2024, Electronics,Bluetooth Speaker,Central,Online,Debit Card,7 ,236.16,182.11,1653.12,27.0,5.0
ORD105130,09-Sep-2023, Home & Kitchen,Bedsheet Set,East,Online,Debit Card,8,35.81,27.53,286.48,39.0,2.0
ORD100754,15-Mar-2023,CLOTHING,Denim Jacket,West,Online,Credit Card,3,66.79,47.93,200.37,45.0,3.0
ORD108893,06-Jun-2023, Beauty,Sunscreen,West,In-Store,Cash,10,391.13,258.76,3911.3,18.0,4.0
ORD100182,20/06/2024,ELECTRONICS,Smartwatch,West,Online,Credit Card,2,254.19,171.87,508.38,29.0,5.0
ORD109826,04/07/2024, Clothing,Running Shoes,,Online,Net Banking,2,327.83,154.14,655.66,37.0,
ORD107496,2024-09-06, Home & Kitchen,Bedsheet Set,Central,Online,UPI,2,430.44,333.81,860.88,43.0,3.0
ORD106737,27-Jun-2024, Clothing,Summer Dress,Central,In-Store,Net Banking,7,263.29,122.33,1843.03,40.0,3.0
ORD103046,04-Jun-2023, Sports,Dumbbell Set,North,Online,Debit Card,9,228.49,177.17,2056.41,34.0,1.0
ORD110139,2024-04-18, Clothing,Summer Dress,South,In-Store,Cash,10 ,228.6,182.42,2286.0,39.0,4.0
ORD100602,04-09-2024,ELECTRONICS,Wireless Mouse,West,In-Store,Net Banking,1,383.93,177.98,383.93,26.0,4.0
ORD101437,19-Jul-2023, Beauty,Sunscreen,North,Online,Cash,9,187.72,101.91,1689.48,38.0,4.0
ORD109751,2024-06-12,ELECTRONICS,Wireless Mouse,South,Online,Net Banking,4,463.55,202.36,1854.2,28.0,3.0
ORD107140,19-Nov-2024,beauty ,Lipstick,South,In-Store,Cash,4,409.76,272.1,1639.04,24.0,4.0
ORD107736,06-16-2023, Electronics,Laptop Stand,North,Online,Cash,2,158.88,91.57,317.76,54.0,5.0
ORD107649,2023-09-09,HOME & KITCHEN,Table Lamp,West,In-Store,UPI,2 ,458.32,218.06,916.64,999.0,5.0
ORD103649,19-Oct-2024,Home & Kitchen,Blender,Central,In-Store,Cash,5,7.04,2.88,35.2,150.0,
ORD106748,11-08-2024,CLOTHING,Summer Dress,South,In-Store,Cash,6,460.73,214.0,2764.38,47.0,
ORD102454,29/04/2023,SPORTS,Cricket Bat,North,Online,Cash,1,329.11,161.71,329.11,-5.0,4.0
ORD100701,26-Jan-2024,ELECTRONICS,Laptop Stand,South,Online,Cash,7,$213.8,120.67,1496.6,19.0,2.0
ORD103539,02-10-2024,SPORTS,Cricket Bat,West,Online,Credit Card,2,431.16,314.17,862.32,62.0,1.0
ORD109924,05-30-2023,beauty ,Sunscreen,West,In-Store,Net Banking,10,$142.24,73.21,1422.4,42.0,3.0
ORD104015,20/01/2023, Home & Kitchen,Table Lamp,East,Online,,1,335.79,158.83,335.79,45.0,5.0
ORD108148,07/07/2024,Beauty,Face Serum,East,In-Store,Credit Card,9,364.48,151.5,3280.32,68.0,1.0
ORD102782,09-03-2024, Clothing,Cotton T-Shirt,West,Online,Debit Card,4,130.43,78.52,521.72,,2.0
ORD110065,2024-02-15,ELECTRONICS,Laptop Stand,,In-Store,UPI,3,85.05,37.78,255.15,29.0,1.0
ORD109660,2024-04-29,toys ,Puzzle Set,North,In-Store,UPI,2,328.02,138.14,656.04,33.0,4.0
ORD108887,12-25-2024, Electronics,USB-C Hub,West,Online,Debit Card,2,125.8,87.45,251.6,51.0,1.0
ORD108780,2023-12-14, Toys,Building Blocks,North,Online,,10,104.84,,1048.4,28.0,2.0
ORD109332,27-Nov-2023,BEAUTY,Lipstick,West,In-Store,UPI,6,13.19,5.92,79.14,43.0,4.0
ORD108049,10-31-2024, Sports,Resistance Bands,West,In-Store,Cash,9,169.46,107.0,1525.14,34.0,4.0
ORD100176,11-26-2023, Clothing,Summer Dress,South,In-Store,Debit Card,9,68.38,31.51,615.42,42.0,5.0
ORD107708,22/10/2023,clothing ,Denim Jacket,West,Online,UPI,2,393.6,233.43,787.2,44.0,5.0
ORD105806,28-Mar-2023,TOYS,Action Figure,South,Online,Cash,6,217.5,157.84,1305.0,50.0,3.0
ORD104794,11-28-2023,toys ,Puzzle Set,East,In-Store,Credit Card,9,6.81,4.79,61.29,46.0,
ORD105004,24/09/2024, Beauty,Face Serum,North,In-Store,Net Banking,2,177.92,131.2,355.84,22.0,1.0
ORD105627,22-Nov-2024,Beauty,Perfume,Central,In-Store,Credit Card,3 ,164.8,77.06,494.4,34.0,2.0
ORD107805,02/07/2024,SPORTS,Dumbbell Set,East,In-Store,Cash,4,41.63,25.47,166.52,49.0,5.0
ORD108834,07-02-2024, Beauty,Lipstick,Central,Online,Debit Card,10 ,$288.78,154.24,2887.8,24.0,5.0
ORD100457,2024-04-21,Beauty,Sunscreen,North,Online,Net Banking,5,305.91,215.96,1529.55,67.0,2.0
ORD103795,11/10/2024, Home & Kitchen,Bedsheet Set,North,Online,Cash,10,373.15,228.08,3731.5,40.0,5.0
ORD102101,06-Mar-2024,BEAUTY,Shampoo,East,In-Store,Cash,6,199.46,94.12,1196.76,41.0,2.0
ORD107905,17/11/2023,ELECTRONICS,Laptop Stand,East,Online,Net Banking,9,379.14,,3412.26,43.0,3.0
ORD103520,05-18-2024,beauty ,Face Serum,Central,In-Store,Cash,2,$86.94,48.78,173.88,25.0,3.0
ORD104213,04-15-2023, Sports,Yoga Mat,West,Online,Cash,8,497.78,201.84,3982.24,49.0,1.0
ORD106710,23-Oct-2024, Electronics,Smartwatch,East,Online,UPI,6,466.24,289.14,2797.44,56.0,4.0
ORD104903,2023-05-31, Sports,Football,North,Online,Debit Card,6,376.4,233.07,2258.4,50.0,2.0
ORD108166,06-10-2023,sports ,Dumbbell Set,West,In-Store,Credit Card,5,446.0,293.52,2230.0,24.0,4.0
ORD110339,15-Jan-2023,Beauty,Sunscreen,North,Online,Net Banking,6 ,$328.87,169.7,1973.22,29.0,2.0
ORD109257,23/10/2023,Beauty,Lipstick,West,Online,Cash,4,434.7,340.75,1738.8,42.0,4.0
ORD110336,2024-03-15,CLOTHING,Running Shoes,West,Online,UPI,10 ,186.25,136.16,1862.5,25.0,3.0
ORD102064,10-19-2024,sports ,Cricket Bat,North,In-Store,UPI,2,84.69,52.95,169.38,51.0,4.0
ORD110328,03/11/2023,TOYS,Board Game,South,Online,Net Banking,2,292.85,222.09,585.7,63.0,4.0
ORD103694,, Toys,RC Car,West,Online,Debit Card,1,$78.8,61.71,78.8,49.0,4.0
ORD103150,06-Feb-2023,beauty ,Face Serum,West,Online,Net Banking,10,296.0,177.77,2960.0,51.0,4.0
ORD103427,14/03/2023,toys ,Building Blocks,Central,Online,UPI,4,418.45,222.13,1673.8,30.0,3.0
ORD107383,2023-10-25, Home & Kitchen,Table Lamp,Central,Online,Debit Card,4 ,155.14,101.68,620.56,44.0,3.0
ORD101238,05-25-2023,beauty ,Shampoo,South,In-Store,Credit Card,5,236.5,153.19,1182.5,19.0,2.0
ORD101062,2023-07-31,Clothing,Denim Jacket,East,Online,Debit Card,8,480.66,,3845.28,18.0,5.0
ORD100261,11-07-2024,Sports,Yoga Mat,East,In-Store,UPI,8,203.38,126.88,1627.04,51.0,4.0
ORD100935,24-Feb-2023,toys ,RC Car,East,Online,Debit Card,5,,228.48,1773.9,24.0,4.0
ORD107599,2024-07-09,CLOTHING,Denim Jacket,East,In-Store,Cash,1,240.35,135.39,240.35,46.0,3.0
ORD101357,01/08/2023,Clothing,Wool Sweater,North,Online,Debit Card,2,178.22,127.07,356.44,33.0,4.0
ORD104816,,sports ,Dumbbell Set,North,In-Store,Cash,8,$455.19,334.46,3641.52,23.0,
ORD107980,01-20-2024,HOME & KITCHEN,Blender,South,In-Store,Debit Card,3,232.97,154.05,698.91,43.0,5.0
ORD102209,10-06-2024,TOYS,Action Figure,South,In-Store,Debit Card,1,261.61,116.43,261.61,33.0,2.0
